station,well,band,day,date,dye,medium,peak,conc
23,RW-13,0,0,1/6/2020,fluorescein,groundwater,*,*
24,EMW-14,0,0,1/6/2020,fluorescein,groundwater,*,*
25,RW-01,0,0,1/6/2020,fluorescein,groundwater,*,*
26,RW-03,0,0,1/6/2020,fluorescein,groundwater,*,*
1,RW-02,1,0,1/6/2020,fluorescein,groundwater,ND,ND
2,VE-02,1,0,1/6/2020,fluorescein,groundwater,ND,ND
18,RW-12,1,0,1/6/2020,fluorescein,groundwater,*,*
19,RW-10,1,0,1/6/2020,fluorescein,groundwater,*,*
3,RW-04,2,0,1/6/2020,fluorescein,groundwater,ND,ND
4,RW-06,2,0,1/6/2020,fluorescein,groundwater,ND,ND
5,RW-07,2,0,1/6/2020,fluorescein,groundwater,ND,ND
6,RW-08,2,0,1/6/2020,fluorescein,groundwater,515.5,0.459
20,RW-05,2,0,1/6/2020,fluorescein,groundwater,*,*
21,EMW-20,2,0,1/6/2020,fluorescein,groundwater,*,*
7,EMW-07,3,0,1/6/2020,fluorescein,groundwater,ND,ND
8,EMW-11,3,0,1/6/2020,fluorescein,groundwater,ND,ND
9,EMW-12,3,0,1/6/2020,fluorescein,groundwater,ND,ND
22,EMW-13,3,0,1/6/2020,fluorescein,groundwater,*,*
10,EMW-18,4,0,1/6/2020,fluorescein,groundwater,*,*
11,EMW-19,4,0,1/6/2020,fluorescein,groundwater,*,*
12,EMW-21,4.5,0,1/6/2020,fluorescein,groundwater,*,*
13,EMW-01,5,0,1/6/2020,fluorescein,groundwater,*,*
14,EMW-02,5,0,1/6/2020,fluorescein,groundwater,*,*
23,RW-13,0,0,1/6/2020,RWT,groundwater,*,*
24,EMW-14,0,0,1/6/2020,RWT,groundwater,*,*
25,RW-01,0,0,1/6/2020,RWT,groundwater,*,*
26,RW-03,0,0,1/6/2020,RWT,groundwater,*,*
1,RW-02,1,0,1/6/2020,RWT,groundwater,ND,ND
2,VE-02,1,0,1/6/2020,RWT,groundwater,ND,ND
18,RW-12,1,0,1/6/2020,RWT,groundwater,*,*
19,RW-10,1,0,1/6/2020,RWT,groundwater,*,*
3,RW-04,2,0,1/6/2020,RWT,groundwater,ND,ND
4,RW-06,2,0,1/6/2020,RWT,groundwater,ND,ND
5,RW-07,2,0,1/6/2020,RWT,groundwater,ND,ND
6,RW-08,2,0,1/6/2020,RWT,groundwater,515.5,0.459
20,RW-05,2,0,1/6/2020,RWT,groundwater,*,*
21,EMW-20,2,0,1/6/2020,RWT,groundwater,*,*
7,EMW-07,3,0,1/6/2020,RWT,groundwater,ND,ND
8,EMW-11,3,0,1/6/2020,RWT,groundwater,ND,ND
9,EMW-12,3,0,1/6/2020,RWT,groundwater,ND,ND
22,EMW-13,3,0,1/6/2020,RWT,groundwater,*,*
10,EMW-18,4,0,1/6/2020,RWT,groundwater,*,*
11,EMW-19,4,0,1/6/2020,RWT,groundwater,*,*
12,EMW-21,4.5,0,1/6/2020,RWT,groundwater,*,*
13,EMW-01,5,0,1/6/2020,RWT,groundwater,*,*
14,EMW-02,5,0,1/6/2020,RWT,groundwater,*,*
23,RW-13,0,0,1/6/2020,fluorescein,carbon,*,*
24,EMW-14,0,0,1/6/2020,fluorescein,carbon,*,*
25,RW-01,0,0,1/6/2020,fluorescein,carbon,*,*
26,RW-03,0,0,1/6/2020,fluorescein,carbon,*,*
1,RW-02,1,0,1/6/2020,fluorescein,carbon,ND,ND
2,VE-02,1,0,1/6/2020,fluorescein,carbon,ND,ND
18,RW-12,1,0,1/6/2020,fluorescein,carbon,*,*
19,RW-10,1,0,1/6/2020,fluorescein,carbon,*,*
3,RW-04,2,0,1/6/2020,fluorescein,carbon,ND,ND
4,RW-06,2,0,1/6/2020,fluorescein,carbon,ND,ND
